Type,M,N,Cond,Norm1/Norm0,Norm2/Norm0,Norm3/Norm0,Norm4/Norm0,Norm5/Norm0,Norm6/Norm0,Norm7/Norm0,Norm8/Norm0,Norm9/Norm0,Norm10/Norm0,Norm11/Norm0,Norm12/Norm0,Norm13/Norm0,Norm14/Norm0,Norm15/Norm0,Norm16/Norm0,Norm17/Norm0,Norm18/Norm0,Norm19/Norm0,Norm20/Norm0,Iter1
1,16384,1024,1000,0.230538,0.0566481,0.0140616,0.00326419,0.000783101,0.000183013,4.55E-05,1.10E-05,2.72E-06,6.89E-07,1.74E-07,4.18E-08,9.92E-09,2.49E-09,6.08E-10,1.46E-10,3.48E-11,8.05E-12,1.96E-12,4.80E-13,2
2,16384,1024,1000,0.202537,0.0518859,0.011424,0.00438339,0.00506009,0.014081,0.0527307,0.217202,0.94833,3.03462,2.05376,0.495734,0.122879,0.0247161,0.00536448,0.00131216,0.000901045,0.00234673,0.0116764,0.0472479,-1
3,16384,1024,1000,0.455873,0.260746,0.15568,0.0912736,0.0544254,0.0338076,0.0195254,0.011935,0.00701105,0.00415156,0.00257552,0.00153165,0.000900042,0.000558456,0.000330292,0.000197796,0.000119091,6.87E-05,4.10E-05,2.33E-05,3
4,16384,1024,1000,0.296251,0.0932659,0.0310312,0.0102147,0.00315172,0.00106372,0.000348587,0.000114382,3.55E-05,1.17E-05,3.75E-06,1.22E-06,3.79E-07,1.23E-07,4.19E-08,1.36E-08,4.15E-09,1.36E-09,4.38E-10,1.44E-10,2
1,16384,2048,1000,0.286831,0.094175,0.030887,0.00984235,0.00335033,0.00111622,0.000365853,0.000118927,3.92E-05,1.29E-05,4.29E-06,1.43E-06,4.78E-07,1.60E-07,5.28E-08,1.76E-08,5.86E-09,1.98E-09,6.57E-10,2.26E-10,3
2,16384,2048,1000,0.121065,0.0145576,0.00265206,0.00433826,0.0335173,0.310732,2.37992,1.80883,0.176237,0.0131982,0.00163923,0.000708754,0.00300012,0.0478862,0.744146,0.447629,0.0509135,0.00364566,0.000343515,0.000260048,-1
3,16384,2048,1000,0.563909,0.388105,0.275805,0.209184,0.16092,0.121186,0.0893979,0.0666555,0.050597,0.0381419,0.0302115,0.0233896,0.0179036,0.0139114,0.0108369,0.00814428,0.00639787,0.00479178,0.00368851,0.00276159,3
4,16384,2048,1000,0.375436,0.160813,0.0690838,0.0306632,0.0135658,0.0061204,0.00265239,0.0011536,0.000500638,0.000220229,9.72E-05,4.44E-05,2.04E-05,9.03E-06,3.97E-06,1.80E-06,8.17E-07,3.68E-07,1.63E-07,7.12E-08,3
1,16384,4096,1000,0.350673,0.152025,0.0674595,0.0300432,0.0139518,0.00618767,0.00272945,0.00120116,0.000532806,0.000241775,0.000104678,4.74E-05,2.12E-05,9.74E-06,4.27E-06,1.89E-06,8.32E-07,3.65E-07,1.59E-07,6.95E-08,3
2,16384,4096,1000,0.0457285,0.00994932,0.034724,0.741594,12.4427,7.22679,0.336239,0.0148559,0.00341676,0.0200342,0.369848,7.25675,0.512971,0.0154313,0.00150031,0.00462509,0.212795,2.27179,0.000629905,0.0205019,-1
3,16384,4096,1000,0.621082,0.488635,0.387417,0.327372,0.280054,0.244716,0.215449,0.195469,0.173533,0.153806,0.137961,0.122509,0.111518,0.0999014,0.0899019,0.084587,0.0784427,0.0705753,0.0644338,0.0593001,3
4,16384,4096,1000,0.461645,0.254869,0.149539,0.0890629,0.0540079,0.0324573,0.020002,0.0117565,0.00687168,0.00406595,0.00244889,0.00149447,0.000902415,0.000541519,0.000323164,0.000193641,0.000115696,6.99E-05,4.21E-05,2.55E-05,3
